title,price,authors,publisher,year
Вторая Академия,740,Азимов Айзек,Эксмо,2018
"Прибалтийская ""мясорубка""",Нет в продаже,Старицын Виктор Карлович,АСТ,2022
Похищение чародея,Нет в продаже,Булычев Кир,Азбука,2023
"Плач по тем, кто остался жить",Нет в продаже,Юрьев Сергей,АСТ,2024
Олимп,Нет в продаже,Симмонс Дэн,Азбука,2023
Кровь Императора,1715,,Фантастика,2022
Арианна и Царство Двух Миров,Нет в продаже,Рэй Анна,Альфа-книга,2017
Ересь Хоруса. Книга VIII. Тени предательства,Нет в продаже,"Макнилл Грэм, Дембски-Боуден Аарон, Френч Джон",Фантастика,2021
Талларн,Нет в продаже,Френч Джон,Фантастика,2021
Звездный вымпел,Нет в продаже,Широков Алексей Викторович,АСТ,2017
Русские своих не бросают,Нет в продаже,"Харников Александр Петрович, Дынин Максим",АСТ,2020
Красный Жук,Нет в продаже,Сурмин Евгений Викторович,АСТ,2022
Нагаш Бессмертный. И нежить восстанет...,Нет в продаже,Ли Майк,Фантастика,2018
Тор. Книга 2,Нет в продаже,Стражински Дж. Майкл,Фантастика,2020
Посольский город,Нет в продаже,Мьевиль Чайна,fanzon,2020
Нат Пинкертон - король сыщиков. Дом ужаса,Нет в продаже,,Престиж БУК,2015
Разведчик,Нет в продаже,Михеев Михаил Александрович,АСТ,2021
Остров погибших кораблей (CDmp3),Нет в продаже,Беляев Александр Романович,Ардис,2017
Черные сердца,1929,Лонг Натан,Фантастика,2021
Поцелуй василиска,Нет в продаже,Флёр Полина,Альфа-книга,2017
Дунайские волны,Нет в продаже,Харников Александр Петрович,АСТ,2019
Игроки с Титана,Нет в продаже,Дик Филип Киндред,Эксмо,2018
Огонь. Демагог,Нет в продаже,Фокин Кирилл Валерьевич,Вече,2016
Рыцарь Ордена. Наследник Ордена. Рыцарь двух миров. Клинки у трона,Нет в продаже,Садов Сергей,АСТ,2019
Страж (CDmp3),Нет в продаже,Пехов Алексей Юрьевич,Ардис,2016
Золотые миражи,Нет в продаже,"Михайловский Александр Борисович, Харников Александр Петрович",АСТ,2020
Князь Вольдемар Старинов. Книга третья. Обретение дома,681,Садов Сергей,Эксмо,2019
Герой для Системы,Нет в продаже,"Шапочкин Александр Игоревич, Широков Алексей Викторович",АСТ,2019
Офицер: Офицер. Тактик. Стратег,Нет в продаже,"Земляной Андрей Борисович, Орлов Борис Львович",АСТ,2019
Ересь Хоруса. Книга II. Полет Эйзенштейна. Фулгрим. Сошествие Ангелов (иллюстрированное),3215,"Макнилл Грэм, Сваллоу Джеймс, Сканлон Митчел",Фантастика,2020
Император поневоле,Нет в продаже,Гулевич Александр Михайлович,АСТ,2018
Внучка бабы Яги,Нет в продаже,Коростышевская Татьяна Георгиевна,Альфа-книга,2014
Каисса,Нет в продаже,Чижков Виталий Алексеевич,АСТ,2023
Лыжник,Нет в продаже,Санфиров Александр Юрьевич,АСТ,2019
Шрайк,Нет в продаже,Манн Джордж,Фантастика,2018
2CDmp3. Двадцать тысяч лье под водой,Нет в продаже,Верн Жюль,Ардис,2010
Понедельник начинается в субботу. Трудно быть богом,Нет в продаже,"Стругацкий Аркадий Натанович, Стругацкий Борис Натанович",АСТ,2016
Цирк повелителя зверей,Нет в продаже,"Нортон Андрэ, Маккончи Линн",Азбука,2021
Божьи воины,Нет в продаже,Сапковский Анджей,АСТ,2018
Марсианские хроники,Нет в продаже,Брэдбери Рэй,Эксмо,2021
Безумная планета,Нет в продаже,Лейнстер Мюррей,Северо-Запад,2021
Счастье волков,Нет в продаже,Афанасьев Александр,Эксмо,2019
Искатель. Потерянный. Бродяга. Возвращение,Нет в продаже,Кружевский Дмитрий Сергеевич,АСТ,2018
Буря приключений,Нет в продаже,Фирсанова Юлия Алексеевна,Альфа-книга,2011
"Замуж за орка, или Эльфы тоже плачут",Нет в продаже,Успенская Ирина,Альфа-книга,2017
Возвращение домой,Нет в продаже,Комбат Найтов,АСТ,2020
"История возвышения вампиров, рассказанная людьми",Нет в продаже,Вилларил Рэймонд А.,АСТ,2022
Магические узы,Нет в продаже,Ефиминюк Марина Владимировна,Альфа-книга,2017
Младенец Фрей. Купидон,Нет в продаже,Булычев Кир,Вече,2019
Неприступный Севастополь. Круговая оборона,781,Савицкий Георгий Валериевич,Эксмо,2020
Укрощение дракона,784,Ардо Маргарита,Альфа-книга,2017
Красный Лотос,Нет в продаже,Саульский Аркадий,fanzon,2022
Невероятные детективы,Нет в продаже,Нестайко Всеволод Зиновьевич,Престиж БУК,2022
Шлак,Нет в продаже,Капитонов Николай Анатольевич,АСТ,2018
Месть нуба. Чертов данж,Нет в продаже,Винтеркей Серж,АСТ,2020
Истринский цикл. Лекарь. Маг. Военачальник. Серый властелин,Нет в продаже,Щепетнов Евгений Владимирович,АСТ,2018
Снежный князь,Нет в продаже,Полякова Маргарита,АСТ,2016
Пришествие Зверя. Том 3,Нет в продаже,"Аннандейл Дэвид, Сандерс Роб, Гаймер Дэвид",Фантастика,2020
Малышка и Карлссон-3. Мумия и Тролль,Нет в продаже,"Мазин Александр Владимирович, Гурова Анна Евгеньевна",Астрель,2012
Нет войне конца. Антология,Нет в продаже,"Макнилл Грэм, Дембски-Боуден Аарон, Кайм Ник",Фантастика,2017
Заповедник для академиков. 1934-1939 гг.,Нет в продаже,Булычев Кир,Вече,2019
Гибель единства,Нет в продаже,Хейли Гай,Фантастика,2016
Они были мелкие и золотокрылые,Нет в продаже,Лебединская Юлиана,Снежный Ком М,2022
Золотое побережье,Нет в продаже,Робинсон Ким Стэнли,Эксмо,2018
Этландия,Нет в продаже,Ингобор Эрик,Престиж БУК,2014
КОМОНС (Фантастическая трилогия),Нет в продаже,Батыршин Борис Борисович,Секачев В.Ю.,2021
Пятнадцатилетний капитан (2CDmp3),Нет в продаже,Верн Жюль,Ардис,2005
Джон Фландерс. Козодой,Нет в продаже,Рэй Жан,Престиж БУК,2021
Координаты чудес,Нет в продаже,Шекли Роберт,Азбука,2020
Охотник на шпионов,745,Морозов Владислав Юрьевич,Эксмо,2020
Черные паруса,Нет в продаже,Рейнольдс Аластер,Азбука,2021
Танкистка,Нет в продаже,Берг Александр,АСТ,2023
Хранитель волков,Нет в продаже,Лахлан Марк Даниэль,Клуб семейного досуга,2012
CDmp3 Сказка о тройке,Нет в продаже,"Стругацкий Аркадий Натанович, Стругацкий Борис Натанович",Ардис,2012
Крыса из нержавеющей стали,Нет в продаже,Гаррисон Гарри,Азбука,2021
Философская фантастика Станислава Лемма. Монография,600,Шафиков Сагит Гайлиевич,Флинта,2023
"Пистолет Фантастика, стреляет дисками, свет, звук",Нет в продаже,,Bondibon,2022
Потерянные сигналы. Тайная история фантастики,3466,Боскович Дезирина,Эксмо,2021
Невидимые планеты. Новейшая китайская фантастика,Нет в продаже,"Лю Цысинь, Ма Бойон, Чэнь Цюфань",fanzon,2021
Герой,Нет в продаже,Сальваторе Роберт,Фантастика,2020
"Всё страньше и страньше. Как теория относительности, рок-н-ролл и научная фантастика определили XX в",999,Хиггс Джон,Individuum,2022
Император Марса (подарочное издание),Нет в продаже,"Стил Аллен, Тидхар Леви, Рид Роберт",Фантастика,2019
Цель и средства. Лучшая фантастика - 2021,Нет в продаже,"Лукьяненко Сергей Васильевич, Зарубина Дарья Николаевна, Шаинян Карина Сергеевна",АСТ,2020
Гнев Тиамат,Нет в продаже,Кори Джеймс,Фантастика,2020
"Журнал ""Знание-сила. Фантастика"" № 1. 2017",Нет в продаже,,Журнал Знание-сила,2017
"Журнал ""Знание-сила. Фантастика"" № 1. 2019",Нет в продаже,Харичев Игорь Александрович,Журнал Знание-сила,2019
Автомат Фантастика,Нет в продаже,,Bondibon,2023
Broken Stars,3598,Liu Ken,Head of Zeus,2019
История Рунного посоха. Хроники замка Брасс. Комлект из 2 книг,Нет в продаже,Муркок Майкл,Фантастика,2020
Обнаженный бог,Нет в продаже,Гамильтон Питер,Фантастика,2019
Лучшая фантастика. Сборник,Нет в продаже,"Чан Тед, Уоттс Питер, Лю Кен",АСТ,2021
Путешествие через невозможное. Авантюрность и фантастика Великого Немого,973,Сальникова Екатерина,Канон+,2023
Автомат Фантастика,Нет в продаже,,Bondibon,2023
Сломанные звезды. Новейшая китайская фантастика,1156,"Лю Цысинь, Ся Цзя, Лю Кен",fanzon,2020
Перевернутое время. Г. К. Честертон и научная фантастика,649,Кларк Стивен Р. Л.,ББИ,2009
Темный разум,Нет в продаже,Эшер Нил,Фантастика,2018
"Журнал ""Знание-сила"". Фантастика. № 2 (27). 2018",Нет в продаже,Харичев Игорь Александрович,Журнал Знание-сила,2018
Легенда о Темном Эльфе. Переходы,Нет в продаже,Сальваторе Роберт,Фантастика,2021
Божественная фантастика,Нет в продаже,Нахин Пол Дж.,ДМК-Пресс,2020
Тихая война,Нет в продаже,Макоули Пол,Фантастика,2018
"Журнал ""Знание - сила. Фантастика"" № 1. 2020",Нет в продаже,Харичев Игорь Александрович,Журнал Знание-сила,2020
Темпоральная Бездна,Нет в продаже,Гамильтон Питер,Фантастика,2018
Сверхновая научная фантастика и киберпанк. Комплект из 3-х книг,Нет в продаже,"Ньюиц Аннали, Уилсон Роберт Чарльз, Тидхар Леви",fanzon,2020
Апокалиптический реализм. Научная фантастика Аркадия и Бориса Стругацких,Нет в продаже,Хауэлл Ивонн,Academic Studies Press,2021
Пистолет Фантастика со световыми и звуковыми эффектами,Нет в продаже,,Bondibon,2022
Время для мага. Лучшая фантастика - 2020,Нет в продаже,"Лукьяненко Сергей Васильевич, Белаш Александр, Некрасов Юрий Александрович",АСТ,2019
Территория Дозоров. Лучшая фантастика - 2019,Нет в продаже,Калябина А.,АСТ,2018
"Журнал ""Знание-сила. Фантастика"" № 1. 2018",Нет в продаже,Харичев Игорь Александрович,Журнал Знание-сила,2018
"Пистолет Фантастика, свет, звук, проекция",Нет в продаже,,Bondibon,2022
Наваждение. Лучшая фантастика — 2022,Нет в продаже,"Лукьяненко Сергей Васильевич, Пехов Алексей Юрьевич, Лукин Евгений Юрьевич",АСТ,2021
Фантастика и футурология. В 2-х томах,Нет в продаже,Лем Станислав,АСТ,2024
"Журнал ""Знание-сила. Фантастика"" № 2. 2017",Нет в продаже,,Журнал Знание-сила,2017
Пистолет Фантастика со световыми и звуковыми элементами,Нет в продаже,,Bondibon,2022
Русская фантастика-2017. Том 2,512,"Гелприн Майк, Тищенко Геннадий, Подзоров Павел",Эксмо,2017
Новая фантастика. Произведения начинающих писателей. 2020 год,Нет в продаже,"Головачев Василий Васильевич, Злотников Роман Валерьевич, Седов Сергей Анатольевич",Де'Либри,2020
Военная фантастика - лучшее,Нет в продаже,"Марченко Ростислав Александрович, Сорокин Игорь Владимирович, Найтов Комбат",АСТ,2019
Лучшая фантастика XXI века,Нет в продаже,"Лю Кен, Скальци Джон, Стросс Чарльз",АСТ,2017
Новая фантастика 2021. Антология №5,Нет в продаже,"Шохан Татьяна, Бухштабер Полина, Белая Августа",Де'Либри,2021
Большая фантастика. Новое поколение. Комплект из 3-х книг,Нет в продаже,"Нёвель Сильвен, Мэстай Элан, Макинтош Уилл",fanzon,2020
Новая фантастика. Антология № 6,Нет в продаже,"Головачев Василий Васильевич, Ивченко Елена, Стрельченко Дарина Александровна",Де'Либри,2022
Цена бессмертия. Наша старая добрая фантастика,Нет в продаже,"Биленкин Дмитрий Александрович, Журавлёва Валентина Николаевна, Пухов Михаил Георгиевич",Азбука,2018
Фантастика без границ-2. Запределье,Нет в продаже,"Лазаренко Ирина, Лазарев Дмитрий Владимирович, Сафин Эльдар Фаритович",Т8,2021
Настоящая фантастика-2019,Нет в продаже,"Головачев Василий Васильевич, Лукьяненко Сергей Васильевич, Гелприн Майк",Эксмо,2019
Русская фантастика-2019. Том первый,Нет в продаже,"Аваков Сергей Сергеевич, Александер Александр, Анискова Наталья",Эксмо,2019
Безлюди. Одноглазый дом,454,Юркина Женя,Эксмо,2023
Исправленному верить,530,Тумко Натали,"Общенациональная ассоциация молодых музыкантов, поэтов и прозаиков",2022
1924 год. Старовер,369,Тюрин Виктор Иванович,АСТ,2023
Проект,213,Землянский Олег,"Общенациональная ассоциация молодых музыкантов, поэтов и прозаиков",2021
Ремнант: Все еще вижу тебя (DVD),226,,НД Плэй,2018
Солнце в VIII доме,322,Феддо Катарина,"Общенациональная ассоциация молодых музыкантов, поэтов и прозаиков",2022
DVD. Зои,226,Доримус Дрейк,НД Плэй,2018
Лучший институт - удачно выйти замуж,464,Помазуева Елена Александровна,Альфа-книга,2020
Первое испытание,434,Пищенко Виталий Иванович,Вече,2021
Ложные выводы. Том 4,590,Сиродайра Кё,Фантастика,2022
"Уездный детектив. Незваный, но желанный",496,Коростышевская Татьяна Георгиевна,Альфа-книга,2021
Маски сбежавшей невесты,512,"Волжская Анастасия, Яблонцева Валерия",Альфа-книга,2022
Веном. Космический рыцарь. Книга 2: Враги и союзники,451,Томпсон Робби,Фантастика,2020
Прикосновение зверя,236,Аро Ольга,Альфа-книга,2021
Пилот ракетоносца. Вижу цель,306,Мах Макс,АСТ,2020
Эльфийка вишневых кровей,252,Кароль Елена,Альфа-книга,2016
"Русский щит, или Конец Большой игры",563,"Федотов Дмитрий Станиславович, Плещеева Дарья",Вече,2024
Образцовый самец,236,Кузнецова Дарья Андреевна,Альфа-книга,2020
Избранная и беглец,248,Штерн Оливия,Альфа-книга,2021
Ковен заблудших ведьм,373,Гор Анастасия,Черным-бело,2024
Превентивный удар,356,Муравьев Константин Николаевич,АСТ,2022
Маски. Иллюзия заблуждений,263,Медведева Алена Викторовна,Альфа-книга,2017
Меч некроманта,434,Кудрявцев Леонид Викторович,Вече,2021
Фаворит. Книга вторая. Его Таврида,570,Пикуль Валентин Саввич,Центрполиграф,2021
Соломон Кейн и другие герои. Рассказы и повести,700,Говард Роберт Ирвин,Феникс,2022
"С любовью, теща!",496,Валентеева Ольга Александровна,Альфа-книга,2021
"Кинг Конг, 2005. Конг. Остров Черепа (3DVD)",544,,НД Плэй,2023
Ариэль,238,Беляев Александр Романович,Малыш,2022
Шествие динозавров,237,Филенко Евгений Иванович,Вече,2018
Видеоблог вампира,422,Максимов Макс,Эксмо,2020
Призрак в желтой коляске,616,Киплинг Редьярд Джозеф,Текст,2023
Напарницы,252,Консуэло Ольга,Альфа-книга,2021
Именем Тьмы. Время инверсий,622,Васильев Владимир Николаевич,Феникс,2024
Ай-тере. Великая ночь,496,Валентеева Ольга Александровна,Альфа-книга,2021
Ай-тере. Бракованный подарок,472,Валентеева Ольга Александровна,Альфа-книга,2021
Янтарь лорда демонов. Избранная светом,248,Грон Ольга,Альфа-книга,2021
Фокус мироздания,496,Кароль Елена,Альфа-книга,2022
Все зло в шоколаде!,504,Фирсанова Юлия Алексеевна,Альфа-книга,2021
За девятое небо,518,Мекачима Екатерина,Эксмо,2022
Ангрон. Раб Нуцерии,1029,Сент-Мартин Иэн,Фантастика,2020
Гора раздора,228,Шевченко Ирина Сергеевна,Альфа-книга,2018
Прислуга в гостинице духов,504,Матлак Ирина Александровна,Альфа-книга,2021
Чертова ведьма,472,Вайс Лора,Альфа-книга,2020
Дом Ворона,512,Мирович Анна,Альфа-книга,2022
Солнечная война,858,Френч Джон,Фантастика,2021
Целительница,504,Бульба Наталья Владимировна,Альфа-книга,2021
Призраки на болоте,1158,Штробль Карл Ханс,Престиж БУК,2024
Ромашка для ведьмы,472,Валентеева Ольга Александровна,Альфа-книга,2021
Сердце академии магии,496,Владимирова Наталья,Альфа-книга,2021
Тайна двух океанов,208,Адамов Григорий Борисович,Амфора,2015
Вычислитель,919,Громов Александр Николаевич,Феникс,2024
Кай,486,Анжело Алекс,Эксмо,2023
"Любовь не на шутку, или Райд Эллэ за!",432,Черникова Любовь Сергеевна,Альфа-книга,2018
О моём перерождении в слизь. Том 5,590,"Фусэ, Каваками Тайки, Миц Ва",Фантастика,2022
Ящик с секретом,1158,Нестайко Всеволод Зиновьевич,Престиж БУК,2022
След паука. Пес императора,536,Шнайдер Анна,Альфа-книга,2022
Огнедышащий,268,Антонова Тамара Николаевна,"Общенациональная ассоциация молодых музыкантов, поэтов и прозаиков",2020
"Путь, выбирающий нас",235,Панкеева Оксана Петровна,Альфа-книга,2014
Реквием Крысиному королю,868,Витковский Евгений Владимирович,Престиж БУК,2021
Времени нет,390,Брусницын Алексей,Яуза,2024
Невеста врага,472,Иванова Ольга Дмитриевна,Альфа-книга,2021
Нужен муж! Срочно!,448,Жарова Наталья Сергеевна,Альфа-книга,2019
Невыносимая мисс Пэг,248,Мирошник Ксения Викторовна,Альфа-книга,2021
Второй Эфир,858,Муркок Майкл,Фантастика,2023
Дремлющая Бездна,553,Гамильтон Питер,Фантастика,2017
Звезда Пандоры,965,Гамильтон Питер,Фантастика,2022
Святые Спасения,804,Гамильтон Питер,Фантастика,2023
Второе поколение,643,"Уэйс Маргарет, Хикмэн Трэйси",Фантастика,2021
Звездная дорога,461,Гамильтон Питер,Фантастика,2017
Ночь без звезд,965,Гамильтон Питер,Фантастика,2023
Спасение,804,Гамильтон Питер,Фантастика,2023
